intervalSize      & Ep2_errorFun_full    & Ep4_errorFun_full    & Ep6_errorFun_full    & Ep8_errorFun_full    & Ep2_errorFun_QB    & Ep4_errorFun_QB    & Ep6_errorFun_QB    & Ep8_errorFun_QB    & Ep2_errorFun_Q    & Ep4_errorFun_Q    & Ep6_errorFun_Q    & Ep8_errorFun_Q        
3.397590e+00      & 5.544331e-01         & 5.686003e-01         & 6.406601e-01         & 7.088228e-01         & 5.544331e-01       & 4.212780e-01       & 4.453297e-01       & 4.460728e-01       & 5.544331e-01      & 8.567665e-01      & 8.360323e-01      & 8.345032e-01     
3.445783e+00      & 5.737843e-01         & 6.044777e-01         & 7.010555e-01         & 7.982548e-01         & 5.737843e-01       & 4.359277e-01       & 4.618452e-01       & 4.626562e-01       & 5.737843e-01      & 8.906744e-01      & 8.686701e-01      & 8.669329e-01     
3.493976e+00      & 5.934529e-01         & 6.419677e-01         & 7.660334e-01         & 8.973180e-01         & 5.934529e-01       & 4.507875e-01       & 4.786836e-01       & 4.795690e-01       & 5.934529e-01      & 9.253615e-01      & 9.020294e-01      & 9.000610e-01     
3.542169e+00      & 6.134366e-01         & 6.811129e-01         & 8.358577e-01         & 1.006874e+00         & 6.134366e-01       & 4.658541e-01       & 4.958464e-01       & 4.968140e-01       & 6.134366e-01      & 9.608324e-01      & 9.361129e-01      & 9.338881e-01     
3.590361e+00      & 6.337332e-01         & 7.219559e-01         & 9.108029e-01         & 1.127845e+00         & 6.337332e-01       & 4.811245e-01       & 5.133355e-01       & 5.143938e-01       & 6.337332e-01      & 9.970913e-01      & 9.709234e-01      & 9.684147e-01     
3.638554e+00      & 6.543404e-01         & 7.645398e-01         & 9.911540e-01         & 1.261219e+00         & 6.543404e-01       & 4.965956e-01       & 5.311529e-01       & 5.323116e-01       & 6.543404e-01      & 1.034143e+00      & 1.006464e+00      & 1.003641e+00     
3.686747e+00      & 6.752561e-01         & 8.089079e-01         & 1.077207e+00         & 1.408052e+00         & 6.752561e-01       & 5.122644e-01       & 5.493005e-01       & 5.505708e-01       & 6.752561e-01      & 1.071990e+00      & 1.042736e+00      & 1.039567e+00     
3.734940e+00      & 6.964780e-01         & 8.551038e-01         & 1.169269e+00         & 1.569472e+00         & 6.964780e-01       & 5.281278e-01       & 5.677807e-01       & 5.691753e-01       & 6.964780e-01      & 1.110639e+00      & 1.079743e+00      & 1.076193e+00     
3.783133e+00      & 7.180038e-01         & 9.031712e-01         & 1.267658e+00         & 1.746682e+00         & 7.180038e-01       & 5.441830e-01       & 5.865959e-01       & 5.881292e-01       & 7.180038e-01      & 1.150092e+00      & 1.117488e+00      & 1.113518e+00     
3.831325e+00      & 7.398313e-01         & 9.531543e-01         & 1.372704e+00         & 1.940965e+00         & 7.398313e-01       & 5.604271e-01       & 6.057487e-01       & 6.074371e-01       & 7.398313e-01      & 1.190355e+00      & 1.155972e+00      & 1.151541e+00     
